text,label
aya matenda yamene mwa dwala mufunikila ku nkala mwamweka munga Paseko anzanu alimu nyumba pamodzi naimwe.,medical
"mwana mumala sayenda, mufunikila ku yenda ku scan baone ngati ali moyo.",medical
ku chipatala mwabwela tizaku tandizilani mosadese nkawa.,medical
"ine ndi sebenze mwemuno, nigaku tandiseni bwanji?",medical
Ndalama nikuziba kusunga.,financial
Natumiza ndalama kwaboza.,financial
Nilibe ndalama.,financial
Nibwezele ndalama zanga.,financial
Nkongole sizamushe.,financial
"Muntu we afuna ndala, nikuzisebenzela.",financial
Ndalama zimafunika.,financial
Natumiza ndalama ku nambala yolakwika.,financial
Akaunti yanga yatsekedwa ndipo sindikudziwa chifukwa chake.,financial
Ndikufuna kutenga ndalama zonse zomwe ndasunga.,financial
Ndalama sizikuwoneka mu akaunti yanga.,financial
"PIN yanga ndaiwala, ndithandizeni chonde.",financial
Transaction yalephera koma  zatengedwa.,financial
Ndikufuna kusintha nambala ya mobile money yanga.,financial
1)Ndalama zanga zonse zogulisila .,financial
2) Mukadzi wa muncho wakangiwa kubweza ndalama yomwe ana kongola .,financial
"1,Natuma Ndalama kuli number inangu",financial
"2, Account yanga yakomewa",financial
Nifuna kuchosa ndalama zanga zonse zosunga,financial
"3, Nifuna kusegula bank account",financial
"4, Nasobesa bank card yanga",financial
"5, Nifuna kusegulisa savings account",financial
"6, Nifuna ku ngenesa 500 kwacha",financial
"7, Nifuna kuchosa 20kwacha",financial
"""Nifuna kutumako ndrama.""",financial
"""Mumachita Airtel deposit?""",financial
"""Niku ona bwanji ndrama ili mu account?""",financial
"""Nifuna ku chosa ndrama mu Airtel money no tuma ku bank account.""",financial
"""Nifuna ku segulako savings account.""",financial
"""Nizingati withdraw charge?""",financial
"""Niku chekinga bwanji account number?""",financial
Na tumiza ndrama ku wrong number.,financial
Nifuno chita withdraw ndrama yanga yonse,financial
Account yanga yankala blocked.,financial
Sinikwanisa ku segula account yanga.,financial
1)ndrama zinatuma mukulu wako zilikuti.,financial
2) ndipo ka foni aka kadula,financial
3)ndrama zamene zikana kuchoka zikacoka niza ndiyo.,financial
4)Bananibela ndrama mailo.,financial
5) wapa ka buthi uyu abela bantu ndrama.,financial
6)kuti uyambe kusunga ndrama ufunika ulina zambili.,financial
7)nalandila ndrama kuchoka ku Namba yamene siniziba.,financial
indalama ku namba iyalubana bushe kuti mwafwilishako ukushibwesha,financial
Nalituma indalama kuli nambala imbi.,financial
Akaunti nambala yandi nabaisala.,financial
Ndefwaya ukufumya indalama shonse nasungile mu akaunti,financial
Ndefwaya ukubomfya indalama ishi ku fintu ifingi .,financial
Bushe kuti nafumya Shani ishi ndalama?.,financial
Kabili kuti nacita Shani pantu shintu ntumine mu akaunti nambala imbi shibwele mu yandi?,financial
Kuti natumina banani pakuti bakomonone akaunti yandi?,financial
nacitumina indalama pa nambala iimbi,financial
indalama batumine tashafikile,financial
balituputulamo indalama ishingi ukucila mucipimo,financial
Balibebila indalama munshila,financial
indalama shilefwaikwa tashikumanine,financial
Mfwile ukufyuma indalama shandi shonse shintu nsungisha,financial
Nabandisalila akaunti yandi,financial
Impiya nga watumina kumbi cilashupako paku shibwesha.,financial
Impiya nashishupa pakuti ushisange.,financial
Nga walufyanya ama nambala ya pin pa kwingisha imiku iyingi balesala banki account yobe.,financial
Palapita inshita pakuti besule bank account yobe nga wali isalisha.,financial
Ndefwaya ukufumya impiya shandi shonse nalesungisha ku banki.,financial
Ama banki yaliwama pantu yalasunga bwino impiya tekuti umuntu akwibile.,financial
Abantu bafwile ukulasungisha impiya shabo kuma banki pantu nga shilesungwa mu mayanda shilaluba.,financial
1: Ni sakilako pali la booth nifuma ku chosa ndalama ya Christmas.,financial
2: network ya Airtel yavuta nikangiwa ku chosa ndalama mu phone.,financial
3:ATM card yanga chai mela chi machine ku bank.,financial
4: ku chosa k4000  ku Airtel money nizingati?,financial
5: ushe  ma bank bama segula pa Saturday?,financial
6:ba tuma ndalama ku number kuli siliza loan.,financial
7: yenda uka chose ndalama baza vala ku bank.,financial
Nina tuma ndrama kuli namba yamene siniziba.,financial
Nifuna kuchosa ndrama paka booth.,financial
Nina gwesa zali pochoka ku bank.,financial
Kudala muli zali teze kuzuzha trolley yamu shoprite manje apa tikula che umukate yitatu na ka sugar ko pimisa.,financial
Koma iyi five hundred yongwelana iza leta kantu because once che uka yingwesa Nishi wa ngwesa salary yako.,financial
Apa naleka ku vokongola kongola.,financial
Bakawalala bavuta napama lamya ati Ndrama za CDF zangena tumani ama NRC yanu ai.,financial
natuma ndalama kwa wrong,financial
Ni yamene agent code,financial
Ni zingati yochosela,financial
ningachoseko 400 kwacha,financial
account yanga ba vala,financial
na ngenesa pin ya wrong,financial
nifuno chosa zonse,financial
"Nachituma impiya kuli Bambi,nomba account yandi naisalikwa. Ndefwaya ukufumya shonse impiya shandi.",financial
Nacituma indalama kuli nambala yabufi,financial
Ndefwaya ukufumya indalama shandi shonse,financial
Nabanjibila indalama,financial
Akaunti yandi nabaisala,financial
Ndefwaya ukutuma indalama,financial
Indala naishupa ukusanga,financial
Lesa alapela icuma,financial
"Ndatumiza ndalama ku nambala yolakwika, kodi ndingazitenge bwanji?",financial
"Akaunti yanga yakhalidwa kapena yatsekedwa, ndikulephera kutulutsa ndalama.",financial
Ndikufuna kutulutsa ndalama zanga zonse zomwe ndasunga mu banki.,financial
Makina a ATM adya khadi langa ndipo ndikufuna thandizo.,financial
Ndikufuna kudziwa ngati ndalama zomwe ndimayembekezera zalowa mu akaunti yanga.,financial
"Sikitala yanga (PIN) ikukana, kodi ndingathe kusintha nambala ya chinsinsi?",financial
Ndalama zomwe ndatumiza pa foni sizinafike kwa munthu amene ndikumutumizira.,financial
Ndefwaya ukutuma impiya,financial
Impiya nashiya kumbi,financial
Indalama nashi luba,financial
Kuti ba kongweshako kalusangu,financial
Impiya nashingila,financial
Kuti mwatuminako indalama kuli iyee number,financial
Inkongole shibe,financial
Indalama shabalanda nashifuma,financial
Nachitumina impiya muli nambala yamuntu uumbi,financial
Impiya ishama buku bantumina kuli bana Mwelwa,financial
Nayamukushita amani kumatuka,financial
Banjibila impiya muchola nabikile,financial
Nshakaye mukulongana shikwete impiya,financial
Impiya nashishupa saana,financial
"""Ndefwaya ukufunya indalama.""",financial
"""Nshikwete indalama.""",financial
"""Ulelipili Lisa inkongole?""",financial
"""Ninkwata ichola champiya.""",financial
"""Ndepanga indalama.""",financial
"""Unomwaka ndenonka.""",financial
"""Walitemwa indalama!""",financial
.Mwebantu naciponya ulupiya lwandi ulucelo,financial
.Yangu taata Nala ukupoka kalusangu Kandi,financial
.Mayo banjibila impiya shilya mwavimpela,financial
. Ndefwaya ukusungisha impiya,financial
.ndefwaya ukufungila kalusangu Kandi kubanki,financial
.nabanjisalila akaunti yandi lelo mucungulo,financial
.ilelo ndefwaya ukufungila kalusangu Kandi konse kalya na sungile,financial
"""Indalama shabene nashiluba"", ""Kabomba Yaba yama alibutuka ne ndalama"", ""nali fumya indalama shandi shonse"",""Bali mfolesha indala kwi banki"",""Ndelolela uku lntumina indalama Kuli ba Yo yamaf"",""Mwaliba umusebanya mukufola indalama shaba landa"","" Bushe l banki iyi palamine ilikwi""",financial
Nalituma impiya kuli number number iyo shalingile ukutuminako.,financial
Ndefwaya ukufumya impiya mu akounti.,financial
Nababloka akaunti.,financial
Ndefwaya ukutuma impiya.,financial
Ndefwaya ukucita dipoziti.,financial
Nalibikamo k20 mu akounti mailo.,financial
Bomfyeni iyi number iyakutuminapo impiya.,financial
"Nima tuma mwana kuchosa ndrama Ina pezeka kuti password yakomeka, lomba muganitandizire bwanji??",financial
"2nifuna kuchosako k500, mulinayo ninga chose??",financial
mu number yamene na tumiza ndrama siyamene elo futi niyo Zima mungani tandizile bwanji manje niifunisisa.,financial
"nifuna ku sunga ndrama patumba mu mobile money, niku Chita bwanji??",financial
nachita  withdraw k7000 nabwelo ntenga,financial
nifunako k1500 withdraw elo mu tumize mu mtn number,financial
nichoseleni kone k30 nasoba,financial
Benze kuniyofya bakuseli.,legal
Chipangano chatu chasila.,legal
Voyambana iyai.,legal
Niziba veimakamba lamulo.,legal
Mukanigwilamo muzamangiwa.,legal
Siningayope nagati niziba lamulo.,legal
Woyandikana nane akundiwopseza tsiku ndi tsiku.,legal
Pangano ili sindikulimvetsa bwino.,legal
Zinthu zanga zabedwa ndipo ndikufuna kulipoti.,legal
Apulisa andimanga popanda kundifotokozera chifukwa.,legal
Munthu wandinyenga ndalama zanga.,legal
Ndikufuna kudziwa ufulu wanga pa nkhani imeneyi.,legal
1)Lelo usiku bakawalala baningenela babaa ndalama zonse.,legal
2)Lelo boyanganila  nyumba bani pisha chifukwa sindinalipile ndalama za nyumba nilibe nakoyenda.,legal
3)Mwana waba sachilo agwilidwa kuli apolisi chifukwa Enzo kuba vovala vabene.,legal
"1,Ba neba banga baniyofya",legal
"2,Iyi contract inisokoneza",legal
"3,Nifuna ku lembesa kawalala",legal
"""Bana tingenela ba kabolala.""",legal
"""Nikuti ku police?""",legal
"""Nifuna ku chita report.""",legal
"""Nichitileko explain Bill",legal
"""Ni iti office yamene imamvela nkani yaba kabolala?""",legal
"""Mupelekeni ku court.""",legal
Mnzanga wa pafupi akundiwopseza.,legal
Woyandikana nane akundichenjeza ndi mawu oopsa.,legal
Pangano ili likundisokoneza.,legal
Sindikulimvetsa bwino pangano ili.,legal
Ndikufuna kukapereka lipoti la kuba.,legal
Ndikufuna kunena kuti zinthu zanga zabedwa.,legal
1) ufunika kuziba loya pa laifi.,legal
2)nkani yamene ba neba Bana nitukana ili ku koti.,legal
3)nizafunika kuchita lipoti bamuna Banga Bama ni menya.,legal
4)ninagula Malo alibe taito nkani ili kukoti.,legal
5) mugaizi analuza nkani Yake ku mejasitiliti mailo.,legal
6)magaizi wamene ananigulisa kanjinga amaniyofya ati ngati sinisiliza kulipila nkani iyenda kusogolo.,legal
Umuntu aiba foni yandi,legal
Ba neba bandi balentinya.,legal
Kaili kontilakiti iyi ilendufyanya.,legal
Ndingile ukulembesha iyi kesi ya kwibi .,legal
Nikwisa ningalemba lipoti ?,legal
Ukwiba kubi Sana kaili tacasuminishiwa.,legal
Kabili cilingile naishiba ifingi Pali kontilakiti.,legal
Aba palamino bandi balentinya,legal
mfwile ukulembesha umulunda wa kwiba,legal
ici cipangano cilesobanya,legal
Ba kapokola nabakanya ukumpumamo ifikoti,legal
bakapokola bacimfumya mu cifungu ilyo pacipita inta ikumi libili na cine,legal
Bakapokola ba cibalondolwela umulandu bacilabekatila,legal
Pali abalefwaya ukunjipaya.,legal
Icipepala ici acakusuminishanya cilemfulunganya.,legal
Ebo njikala nabo balelanda ati balanguma.,legal
Nabanjibila ifintu mu nganda ndefwaya ukutwala umulando kuli bakapokola.,legal
Napapata ngafwilisheniko pali abalefwaya ukwisa iba impiya shandi ubushiku.,legal
"Pali abasendele insapato ukwabula ukulipila, naya pamwabo mukusenda impiya shandi.",legal
1: baka police ba traffic bafuna kuni poka ma keys ya motoka,legal
2: sininga signe ma paper aya kaili sini ziba kuti niya chani.,legal
3: due date ya rent ili mailo,legal
4: misonko ya motoka niyo lipiliwa kudala,legal
5: ndimwe mwani bunka na njinga yanu,legal
6: bani bela vovala pa ntambo.,legal
Nizo sankilako ba lawyer Boni imililako mu court pachitatu.,legal
Awe koma bakapokola pama musembo nibakawalala koma.,legal
Inali chambe Kuma 02 bakawalala bana pandula chiseko chaku kantemba yamu Luandanizi.,legal
Bakapokola mbeze kufuna kuni shuta banani uza ati Osataba Osataba tizakushuta.,legal
Koma ija chipangano pali ija ndrama sichini pasa mutendere.,legal
Mutsikana bana mu poka ka tote bag ku kulima tower.,legal
tabwela kulembesako kawalala,legal
nabamumenya kuipa ba Muna bake,legal
banamumenya ati anaba ndalama,legal
bazamumanga akataba,legal
mulandu uli ku court,legal
banamupaya kawalala,legal
mwana nimungono wamene asebenza so,legal
"Umupaliminwa wandi alensoka. Iyi nsuminisho ilemfulumganya, nalaya kuli bakapokola",legal
Bamupalamano bandi bacintinya,legal
Ndeya mukulembesha bakabolala,legal
Tamwakwata insambu shakutuka insele,legal
Ukucusha abana kupula mwifunde,legal
Ububomfi ubu bulepesha amano,legal
Bombeni bwangu shingile bane,legal
Lesa alitupela insambu shakuisalila,legal
Moyo wanga uli pangozi chifukwa mnansi wanga akundiopseza.,legal
"Pepala la mgwirizano limeneri likundisokoneza mutu, ndikufuna wina andimasulire bwino.",legal
Ndabwera kudzapereka lipoti la katundu wanga amene aba usiku watha.,legal
Kodi ufulu wanga ndi wotani pa nkhani imeneyi malinga ndi malamulo a dziko lino?,legal
Ndikufuna loya woti andiyimire komanso anditeteze m'khothi.,legal
Anthu andichotsa ntchito popanda chifukwa chomveka kapena kundipatsa malipiro anga.,legal
Natulaka naba mupalamano,legal
Nabajibila kamusange,legal
Ulya mwana ni pompye,legal
Mwati ba kakopola naba mwikata kabolala,legal
Bachimwikata Ulya waumine umunakwe,legal
Balya ba mudala Bali ipaya imbushi yabene,legal
Abena mupalamano balanchunshya saana,legal
Ichipangano ichi nachishupa,legal
Ichilye chamilandu chalinjita mukulondolola im,legal
"""Bana Mwansa balentukana.""",legal
"""Ndefwaya ukuzala bukabolala.""",legal
"""Nshile fwaya ukuya kuli bakapokola.""",legal
"""Naba nsendela ubwalwa!""",legal
"""Bansenda bakapokola.""",legal
"""Umwache wandi aleupwa.""",legal
.Abena mupalamano bacilantinya,legal
.abapupu bacitwingilila lelo,legal
.TwalaTwala umulandu kukapokola,legal
.Pali ubupusano Pali ififintufibili,legal
. umulandu wakwiba ufwile waya kukapokola,legal
.abena mwandi bacilantinyailelo,legal
"""Bonse abantu balifyalwa abalubuka kabili balilingana mu bucindami na mu insambu"",",legal
"""Cila muntu alikwata insambu ya mweo, ukucita ico alefwaya elyo nokuicingilila umwine."",",legal
"""Takuli umuntu uufwile ukubikwa mu busha nangu mu bupatwila.""",legal
"""Onse alikwata insambu ukwishibikwa ukuli konse ngo muntu pa menso ya cilye.""",legal
"""Takuli umuntu uwafwile ukubetwa mu nshila iyabipa nangu iyacusha.""",legal
"""Abaume na banakashi, ngl a bafika pa mushinku wa kupa, balikwata insambu sha lingana ku cupo.""",legal
Ndefwaya ukutwala umulandu kuli bakapokola.,legal
Iyi contract ilemfulunganya amano.,legal
Ba neighbor balenjingisha umwenso.,legal
Ndelinga ukucitako lipoti umulandu wabungo.,legal
Baliikata bakabwalala abanjibile ifintu,legal
Balinjibila impoto munganda.,legal
Banitumila ma phone ba scammer,legal
bani Bela k400 mu phone peyasoba,legal
02 kwabwela kawalala atibela TV,legal
mu guys akata mwana wa 2 years,legal
bani itana nfwiti ba neighbor,legal
nifuna ku lembesa bani Bela phone,legal
Neighbor wanga akunofuna kunimenya,legal
Nifuna kupereka lipoti ya munthu ofuna kundipweteza,legal
Chonde ndithandizeni neighbor wanga ndi waukali ndipo andiopseza,legal
ndalama yavuta muchimunzi,financial
stata yavuta ba guy zoona,financial
"ndalama yavuta, nifuna kukongola",financial
vuto la ndalama labwera,financial
"stata yavuta, nifuna thandizo la zamalamulo",legal
